"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"SFA000ETT26000068","Upgrading of Steel Gratings for Seawater Effluent Drainage Channels","Singapore Food Agency","Construction ⇒ Fencing & Ironworks","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 05:50 PM","26 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=SFA000ETT26000068"
"ITA000ETQ26000014","Invitation to Quote for the Supply, Delivery and Installation of Pickleball Court Mat and Barriers at Old Hill Street Police Station","Ministry of Digital Development and Information","Miscellaneous ⇒ Others","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 05:20 PM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=ITA000ETQ26000014"
"MOMHQ0ETT26000015","Stage 2 - Tender for Multi-Disciplinary Consultancy Services for Redevelopment of Recreation Centre at 51 Soon Lee Road","Ministry of Manpower-Ministry Headquarter","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 05:05 PM","08 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOMHQ0ETT26000015"
"MOE000ETQ26000221","Supply of Training and Consultancy Services for Tiered Approach to Intervention for Special Education School's (SPED) Educators","Ministry of Education","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 04:50 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOE000ETQ26000221"
"HPB000ETQ26000010","YPHSQ03/26 Invitation to Quote for the Supply of Foldable Privacy Screens for the School Health Services (SHS) of Health Promotion Board","Health Promotion Board","Furniture, Office Equipment & Audio-Visual ⇒ Others","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 04:35 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HPB000ETQ26000010"
"NYP000ETQ26000145","Invitation-To-Quote (ITQ) for the Supply and Installation of Configurable Industrial Machine Vision Software Platform","Nanyang Polytechnic","IT&Telecommunication ⇒ Softwares & Licences","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 04:35 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NYP000ETQ26000145"
"MOESCHETQ26003764","PROVISION OF IN-HOUSE PRINTING SERVICES 2027 IN HENRY PARK PRIMARY SCHOOL","Ministry of Education - Schools","Administration & Training ⇒ Music & Video","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 04:20 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003764"
"NHB000ETQ26000016","ITQ FOR THE ENGAGEMENT OF PE (ELECTRICAL) SERVICES TO CARRY OUT TECHNICAL STUDY OF THE PROPOSED DECOMMISSIONING & DECANTING OF THE EXISTING ESS","National Heritage Board","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 04:20 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NHB000ETQ26000016"
"HDB000ETQ26000167","QUOTATION FOR RENEWAL OF BIM REMOTE ACCESS SOFTWARE LICENSES & MAINTENANCE SUPPORT","Housing and Development Board","IT&Telecommunication ⇒ Softwares & Licences","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 03:50 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETQ26000167"
"NEA000ETT26000087","Provision of Master Tenancy, Operation and Management Services for an After-Death Facility","National Environment Agency","Facilities Management ⇒ Management Services","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 03:35 PM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETT26000087"
"MOESCHETQ26003761","Renovation of Oasis Room","Ministry of Education - Schools","Construction ⇒ Renovation Supplies & Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 03:35 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003761"
"CAA000ETT26000029","PROVISION OF ADDITION AND ALTERATION WORKS AT AN OPERATIONAL PREMISE","Civil Aviation Authority of Singapore","Construction ⇒ General Building & Minor Construction Works","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 03:05 PM","01 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=CAA000ETT26000029"
"NLB000ETQ26000041","INVITATION TO QUOTE - PROVISION OF SERVICES TO PLAN, CONDUCT PHOTOGRAPHY AND POST-PROCESSING TO DOCUMENT ETHNIC AND RELIGIOUS FESTIVALS IN SINGAPORE","National Library Board","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 03:05 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NLB000ETQ26000041"
"ITE000ETQ26000106","ITEa26-00658-ESCR - Student Care Programme 2026","Institute of Technical Education","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 02:50 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=ITE000ETQ26000106"
"NEA000ETQ26000091","MINOR RENOVATION OF SMALL OFFICE AT CENTRE FOR CLIMATE RESEARCH SINGAPORE (CCRS)","National Environment Agency","Construction ⇒ Renovation Supplies & Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 02:35 PM","02 Oct 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETQ26000091"
"MOE000ETQ26000218","Supply of Training and Consultancy in Trauma-Informed Autism approaches for Special Education (SPED) School Staff","Ministry of Education","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 02:35 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOE000ETQ26000218"
"NEA000ETQ26000092","Supply and Delivery of Crane Systems Spare Parts to Tuas South Incineration Plant","National Environment Agency","Miscellaneous ⇒ Others","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 02:20 PM","02 Oct 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETQ26000092"
"MOESCHETQ26003743","Provision of ad-hoc bus transport services for 2027","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 02:05 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003743"
"RPO000ETQ26000092","Quotation for the provision of Netball Trainer for RP Netball IG for a period of 2 years with the option to extend up to 1 year","Republic Polytechnic","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 01:50 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=RPO000ETQ26000092"
"MOESCHETQ26003760","Supply of Instructors for CCA Wushu for Year 2027 with an option to extend for another year in Yusof Ishak Secondary School","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 01:35 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003760"
"MOESCHETQ26003644","Supply of Instructor for Bowling CCA Training Programme and bowling lanes for 2027 with option to renew in 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 01:35 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003644"
"MOESCHETQ26003568","Greendale Pri Sch : Provision to supply International Chess Instructor from 4 Jan 2027 to 31 Dec 2027 with option to extend for 1 year in 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 01:05 PM","30 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003568"
"NPO000ETQ26000118","(FY26/CORPCOMM/006x/ITQ) Printing & delivery of course brochures 2027","Ngee Ann Polytechnic","Administration & Training ⇒ Printing Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 12:20 PM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NPO000ETQ26000118"
"MOESCHETQ26003755","Invitation To Quote For The Design, Fabricate, Deliver And Install Six (6) Storage Wooden Cabinets","Ministry of Education - Schools","Furniture, Office Equipment & Audio-Visual ⇒ Furniture","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 12:05 PM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003755"
"HDB000ETQ26000164","QUOTATION TO ENGAGE ISA CERTIFIED ARBORIST CONSULTANCY SERVICES FOR PROJECT 2: ROAD IMPROVEMENT AND INFRASTRUCTURE WORKS AT PROJECT EH","Housing and Development Board","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 11:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETQ26000164"
"RPO000ETT26000019","Provision of Basketball Men and Women Trainer Services for RP Basketball IG for OSG","Republic Polytechnic","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 11:35 AM","29 Sep 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=RPO000ETT26000019"
"MOESCHETQ26003756","Supply of Main & Assistant Instructors for Netball CCA Training Programme in St. Hilda's Secondary School for 2027.","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 11:35 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003756"
"MOESCHETQ26003732","Supply of Instructors for Floorball (Girls) CCA Training Programme in St. Hilda's Secondary School for 2027.","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 11:35 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003732"
"MOESCHETQ26003754","Provision of Ad-hoc Bus Transport Services for Radin Mas Primary School, for the period from 1 Jan 2027 - 31 Dec 2027","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 11:20 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003754"
"MOESCHETQ26003750","Provision of Ad-Hoc Bus Transport Services for Yishun Secondary School.","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 11:05 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003750"
"EDB000ETT26000009","ITT Provision of Consultancy Svcs for Development of SG-specific DRE Values to Support Emissions Reduction for Semicon Facilities","Economic Development Board","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 10:35 AM","30 Sep 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=EDB000ETT26000009"
"MOESCHETQ26003367","Supply & Installation of Mixer & Sound System in the Performing Arts Centre (PAC) in CHIJ Primary (Toa Payoh)","Ministry of Education - Schools","Furniture, Office Equipment & Audio-Visual ⇒ AV Equipment, Photographic Equipment & Accessories","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 09:35 AM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003367"
"JUDSUBETQ26000001","INVITATION TO QUOTE FOR THE SUPPLY AND DELIVERY OF TWO MICROFILM READERS AND FIVE YEARS OF COMPREHENSIVE MAINTENANCE SERVICES AFTER PRODUCT WARRANTY","Judiciary-State Courts","Administration & Training ⇒ Photographic & Imaging Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 09:20 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=JUDSUBETQ26000001"
"NHB000ETQ26000015","INVITATION TO QUOTE FOR THE PROVISION OF ARCHIVAL GRADE CORRUGATED BOARDS","National Heritage Board","Administration & Training ⇒ Art Supplies","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 08:50 AM","22 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NHB000ETQ26000015"
"RPO000ETQ26000093","QUOTATION FOR SUPPLY OF IT EQUIPMENT FOR STA","Republic Polytechnic","Administration & Training ⇒ Educational Supplies","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 08:35 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=RPO000ETQ26000093"
"MOESCHETQ26003752","Supply of Instructor for Sepak Takraw CCA Training Programme in Bartley Secondary School for 2027 & 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 08:20 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003752"
"MOESCHETQ26003736","Supply of Instructor for Chinese Orchestra CCA Training Programme in Eunoia Junior College","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 07:50 AM","18 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003736"
"DEFNGPP7126101575","Supply of Ship Spares","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","09 Sep 2026 12:05 AM","02 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101575"
"NEA000ETT26000086","Transportation of Incineration Bottom Ash (IBA) and Incineration Fly Ash (IFA) from Tuas South Incineration Plant (TSIP)","National Environment Agency","Transportation ⇒ Others","GeBIZ","Tender (GeBIZ listing)","09 Sep 2026 12:05 AM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETT26000086"
"MOESCHETQ26003498","Supply Instructor for CCA- Modern Dance in Chongzheng Primary School in 2027 with option to extend in 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 12:05 AM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003498"
"MOESCHETQ26003524","Supply Instructor for CCA- Malay Dance in Chongzheng Primary School 2027 with option to extend in 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","09 Sep 2026 12:05 AM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003524"
"MOESCHETQ26003748","MSS -Maintenance of Indoor Living Plants Vertical Green Wall (Base Period : 5 Jan 2027 to 4 Jan 2029 & Optional Period : 5 Jan 2029 to 4 Jan 2031)","Ministry of Education","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","08 Sep 2026 09:35 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003748"
"DEFNGPP7126101422","Supply of Ship Spares","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","08 Sep 2026 09:05 PM","02 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101422"
"NLB000ETT26000029","INVITATION TO TENDER FOR PROVISION OF FITTING OUT WORKS, LOOSE FURNITURES AND ANCILLARY WORKS AT LEVEL 7 IN NATIONAL LIBRARY BUILDING","National Library Board","Construction ⇒ Interior Decoration","GeBIZ","Tender (GeBIZ listing)","08 Sep 2026 07:05 PM","08 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NLB000ETT26000029"
"DEFNGPP7126101620","Multi Mission Radar Spares","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","08 Sep 2026 07:05 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101620"
"INDHCIETQ26000065","Renovation and Redecoration works for Staff Apartments in Hwa Chong Institution Boarding School","Hwa Chong Institution","Construction ⇒ Renovation Supplies & Services","GeBIZ","Quotation (GeBIZ listing)","08 Sep 2026 06:05 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=INDHCIETQ26000065"
"MOESCHETQ26003726","Supply of Instructors for 2027 Fencing CCA Training Programme in Pasir Ris Crest Secondary School","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","08 Sep 2026 05:50 PM","17 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003726"
